Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
16-03-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.6,19.2,37,115
20-03-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8,21.8,63,100
23-03-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.6,17.8,51,105
27-03-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.1,16.6,49,112
30-03-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,7.5,22,55,97
4/3/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.4,16.8,44,119
4/10/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,7.9,17.7,57,118
13-04-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,14,25.9,46,105
17-04-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,7.8,18.4,41,65
20-04-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8,17.7,53,144
24-04-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,9.8,23.8,48,119
27-04-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,10.9,20.7,44,115
5/4/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.5,19.8,32,91
5/8/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.2,19.1,41,99
5/11/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.5,17,43,108
15-05-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,9.7,18.9,24,66
18-05-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,10,21.2,28,120
22-05-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,10.5,25.4,59,105
25-05-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.4,12.3,43,116
29-05-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.4,12.3,36,85
6/1/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,9.1,24.7,27,104
6/5/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,7.9,17.9,62,120
6/8/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,9.8,20.9,38,95
6/12/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,7.5,19.5,46,101
15-06-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,7.9,19.7,43,111
19-06-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.1,20.7,32,82
22-06-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.5,21.7,21,92
26-06-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,7.2,17.6,40,100
29-06-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.4,21.8,47,100
7/3/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8,19.6,51,114
7/4/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,7.1,22.7,47,82
7/6/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.6,21,49,141
7/9/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,6.8,27.1,59,109
7/10/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.9,20.7,54,142
7/11/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,6.1,17.4,35,64
13-07-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,7.9,18.4,46,129
17-07-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,7.9,23,65,136
20-07-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,7.6,17.6,57,118
24-07-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.2,17.4,41,123
27-07-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,7.8,17.9,63,137
31-07-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8,21.9,32,104
8/3/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,7.8,21.7,43,107
8/7/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,9.5,25.7,26,97
8/10/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,9.2,23.6,30,131
14-08-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,9.7,21.3,74,112
17-08-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.8,21.8,56,104
21-08-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.6,21,28,71
24-08-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.3,23,NA,NA
28-08-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.5,19.9,27,79
31-08-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,9.1,20.5,36,120
9/7/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8,17.6,42,94
9/11/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.5,20.5,44,96
14-09-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,10.8,22.3,36,97
18-09-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,7.8,17.1,28,79
21-09-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,9.1,22.1,23,71
25-09-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.5,21.6,61,107
28-09-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,7.3,22,49,91
10/5/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,9.7,22.8,44,139
10/9/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,7.3,18.4,59,114
10/12/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,9.7,21,39,116
16-10-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,9.3,19.8,68,108
19-10-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,9.3,19.2,24,56
23-10-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,NA,NA,NA,NA
26-10-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,13.3,23.6,48,122
30-10-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,9.2,22.1,26,70
11/2/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,10,24.4,54,116
11/6/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,10.2,24.9,61,133
11/9/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,10.1,23,71,208
13-11-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.4,18.2,34,124
16-11-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.6,21.7,24,78
20-11-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,9.7,21.3,45,163
23-11-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8,20.2,38,71
27-11-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.8,22.8,33,74
30-11-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,11.5,27,36,100
12/4/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,9.6,23,28,46
12/7/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,10.5,23.6,36,108
12/11/2007,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,10.9,24.5,39,57
14-12-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,9.4,18.2,23,35
18-12-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,NA,NA,NA,NA
28-12-07,Tamil Nadu,Madurai,Kunnathur Chatram,Residential and others,8.4,19.2,35,92
1/3/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.9,39.7,51,79
1/4/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,8.6,17.8,54,138
1/5/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,8.7,30.2,69,108
1/8/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,5.7,16.7,71,98
1/10/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6,18.6,58,98
1/12/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.6,33.1,38,65
16-01-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.4,26,57,96
19-01-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,11.6,62.6,47,84
22-01-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.5,29.6,57,101
24-01-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.8,26.5,69,101
29-01-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,8,28.2,51,84
31-01-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,8.4,28.8,53,89
2/2/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.3,22.8,40,79
2/5/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7,26.6,53,88
2/7/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.1,24.4,63,98
2/9/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.7,26.5,47,115
2/12/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.7,31.2,39,63
14-02-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,9.1,45.5,62,107
16-02-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,8.7,41.9,60,102
19-02-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.9,31.2,53,88
21-02-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.2,24.6,61,109
23-02-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.7,21.1,61,114
26-02-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,8.8,26,51,79
28-02-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,8.3,24.1,54,97
3/2/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.8,22.5,45,78
3/5/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,22.8,22.5,41,77
3/7/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,16.7,21.1,28,66
3/9/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.7,18.8,49,94
3/10/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.1,18.9,104,173
3/12/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.5,23.6,42,79
13-03-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.1,21,63,109
17-03-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.5,25.7,63,109
21-03-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.8,25.9,82,141
26-03-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,8.7,26.8,37,64
27-03-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,10.1,33.8,53,101
30-03-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,8.5,27.3,45,67
4/2/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.2,28.7,59,103
4/5/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,9.5,18.3,31,83
4/9/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.3,25.5,61,94
18-04-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.8,41.4,78,119
20-04-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.7,33.8,30,51
23-04-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,8,44.2,30,51
25-04-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.5,27.2,35,59
27-04-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.3,22.9,29,62
30-04-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.3,24.2,34,59
5/2/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,9.1,29.6,54,102
5/4/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.2,28.4,48,90
5/7/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.1,32.8,37,69
5/9/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.5,29,55,101
5/10/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.3,16,112,179
5/11/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.9,26,45,82
14-05-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.2,27.5,41,75
21-05-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.5,22.6,41,75
23-05-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,8,27.9,45,82
25-05-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.9,29.9,34,61
28-05-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.3,22,41,73
30-05-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.8,23.1,43,92
6/1/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,8.2,30,30,56
6/4/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.6,17.1,48,88
6/6/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,10.1,25.9,41,77
6/8/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,9.3,27.8,38,67
6/11/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.8,25.4,41,72
13-06-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.2,23.3,38,64
15-06-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.1,20,51,83
18-06-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.1,24.8,41,73
20-06-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.9,26.6,43,78
22-06-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.5,25.4,28,53
25-06-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.1,19.2,71,112
27-06-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.1,21.3,44,84
29-06-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.6,16.7,50,122
7/2/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.2,19.1,35,65
7/4/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.1,22.7,47,82
7/6/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.9,25.5,65,111
7/9/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.8,27.1,59,109
7/11/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.1,17.4,35,64
13-07-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.1,17.3,42,75
16-07-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.7,18.3,49,87
18-07-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.8,25,43,77
20-07-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,8.7,29.3,59,88
23-07-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.9,24.4,67,107
25-07-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.9,21.6,43,75
27-07-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.2,25,38,70
30-07-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.4,26.4,45,74
8/1/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.2,28.8,29,55
8/3/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,5.8,17.7,24,45
8/6/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6,19.5,25,47
8/8/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.3,19.1,30,57
8/10/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.3,19.1,44,81
13-08-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.2,26.7,45,78
17-08-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.3,24.3,70,133
20-08-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,5.9,18.9,63,111
22-08-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.1,24.2,55,84
24-08-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,8.7,22.6,60,104
27-08-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.3,23.6,44,77
29-08-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,9.1,25.4,33,61
31-08-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.6,40.1,54,99
9/3/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.1,19.2,45,73
9/5/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.2,20.5,58,84
9/7/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.1,17.3,46,84
9/10/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.4,19.7,62,87
9/12/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.7,20.7,78,123
14-09-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6,21.7,49,83
17-09-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.4,27.1,49,80
19-09-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,8.7,34.2,NA,NA
21-09-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.1,18.3,64,111
24-09-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,5.9,16,60,95
26-09-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.8,25.3,93,155
28-09-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6,17.2,92,119
10/1/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.2,19.8,82,134
10/3/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.1,18.9,104,173
10/5/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.3,16,112,179
10/7/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,8.1,20,52,91
10/8/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,8.7,31.4,102,160
10/10/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.2,17.3,132,231
10/12/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.7,21.1,89,150
15-10-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,10.4,20.5,94,158
17-10-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,14.2,45.3,NA,NA
19-10-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,9.9,35.8,61,110
22-10-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,10.6,43.5,48,82
24-10-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,11.4,35.6,65,93
26-10-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,9.8,30.4,47,78
29-10-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.1,22.3,43,78
31-10-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,10.5,24.7,58,102
11/2/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.8,24.1,64,94
11/5/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.5,38.3,76,113
11/12/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.3,21.6,73,119
14-11-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.1,28,101,159
15-11-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,8.2,19.6,57,109
16-11-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.1,23.8,129,178
19-11-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.4,15.1,56,96
23-11-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,5.6,16.3,83,141
26-11-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.3,18.7,84,138
28-11-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.5,15,78,110
30-11-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.5,14.3,95,145
12/5/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,8.8,23.7,70,123
12/7/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,8.1,20,52,91
12/10/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,8.6,19,95,166
12/12/2007,Tamil Nadu,Salem,Sowdeswari College,Residential and others,9.4,19.7,118,207
14-12-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,8.9,40.3,94,146
17-12-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,5.4,13.7,94,146
19-12-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.1,23.6,55,71
20-12-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.7,32.6,39,63
24-12-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.5,25.6,101,168
26-12-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.8,24.1,98,160
28-12-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,6.8,18.5,104,167
31-12-07,Tamil Nadu,Salem,Sowdeswari College,Residential and others,7.9,25.7,116,195
1/3/2007,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,14.4,19.2,62,88
1/6/2007,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,20.3,21.5,56,87
1/10/2007,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,11.7,11.7,35,66
13-01-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,17.8,9,55,80
20-01-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,8.8,10.2,49,80
24-01-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,25.9,55.9,57,87
27-01-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,NA,NA,NA,NA
2/7/2007,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,NA,NA,NA,NA
2/10/2007,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,10.4,10.5,80,118
14-02-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,27.4,9.2,67,112
17-02-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,11.7,17.2,135,241
21-02-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,13.9,12.5,111,163
24-02-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,31.9,37.4,39,66
28-02-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,15.1,9.5,43,73
3/3/2007,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,37.9,19.1,34,96
3/7/2007,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,25.7,9.5,85,202
3/10/2007,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,20.8,9,61,180
14-03-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,15.3,9.3,150,363
17-03-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,16.6,9.2,24,85
21-03-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,12.2,16.9,164,366
24-03-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,9.9,17,46,122
27-03-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,15.2,10.6,123,388
4/4/2007,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,11.8,9.4,55,82
4/7/2007,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,125.3,18.6,75,133
4/11/2007,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,38.3,16.6,36,68
18-04-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,6.5,16.6,104,207
21-04-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,6.6,10.1,65,100
25-04-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,20,35.4,124,216
28-04-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,13.7,60.5,55,135
5/2/2007,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,9.5,11.8,144,291
5/5/2007,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,17.7,69.1,97,149
5/9/2007,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,15.8,21.4,290,356
5/12/2007,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,20.8,11.9,83,167
16-05-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,34.6,11.2,209,330
19-05-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,41.2,33.5,177,266
23-05-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,17.5,15.8,72,167
26-05-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,22.1,14.4,165,208
30-05-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,30.9,10.5,103,146
6/2/2007,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,24.1,23.3,68,127
6/6/2007,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,43.2,15.2,49,123
6/9/2007,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,22.4,15.5,71,137
13-06-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,17.1,9,210,376
16-06-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,19.5,10,294,395
20-06-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,32.5,40.9,249,548
23-06-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,41,13.8,46,69
27-06-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,14,10.6,148,230
30-06-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,39.8,13,159,193
7/4/2007,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,25,15.9,186,406
7/7/2007,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,13.3,10.7,56,317
7/11/2007,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,20.4,19.8,90,265
14-07-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,29.3,10.1,336,660
18-07-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,24.4,13.9,132,222
21-07-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,27,34.8,173,269
25-07-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,16.4,25.9,69,106
28-07-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,37.7,13.2,164,318
8/1/2007,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,27,10.5,42,101
8/4/2007,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,43.2,16.4,107,196
8/8/2007,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,18.4,13.8,94,325
8/11/2007,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,32.1,9.2,173,295
18-08-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,34.6,17.4,232,303
22-08-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,52.1,41.4,165,368
25-08-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,49.7,9.6,85,131
29-08-07,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,19.4,21.1,94,199
9/1/2007,Tamil Nadu,Thoothukudi,Raja Agencies,Industrial Areas,27.9,13.3,256,334
